Location,Price,Bedrooms,Bathrooms,Parking,Floor Size,Erf Size,Description
CapeTownCityCentre,1499995,1,1,1,,,"            The Harri, situated in Cape Town’s East City Precinct, is a charming Modernist Art Deco ...        "
ClaremontUpper,4900000,4,3,3,,403,"            This conveniently positioned, character four bedroomed home is within walking distance to Cavendish shopping centre, top schools and ...        "
Vredehoek,3250000,1,1.5,2,74,,"            Exclusive Mandate |. Welcoming offers from R3,250,000Step inside this modern duplex ...        "
MouillePoint,15750000,4,4,1,212,,            Exclusive and sole mandate. Tenth floor and just below the penthouse with views over ...        
Constantia,4375000,5,3,2,,873,            This appealing family home is safe and securely tucked into an attractive crescent.The welcoming entrance halls leads to inviting ...        
Woodstock,2450000,2,2,1,94,,"            Beautifully renovated, underground parking, a large terrace and more!The features ...        "
Rondebosch,8400000,5,4,8,,1331,            “Rose House” built-in circa 1905 has been lovingly and fully restored and ...        
Constantia,15995000,4,2,9,,8293,            At one with nature and in a truly beautiful setting in the Avenues of Upper Constantia. Completely private and in an elevated position ...        
CapeTownCityCentre,1050000,,1,,38,,            THIS MAKES SENSEMake a move and own this unit in the forever thriving CBD. The property feels bigger than it is. Perfect for the ...        
SeaPoint,2495000,2,1,,82,,"            This spacious apartment is conveniently located in the heart of Sea Point. Well laid out, with 2 bedrooms, 1 bathroom, and a very ...        "
Zonnebloem,2180000,2,1,1,70,,            Excellent INVESTMENT in the NEWLY COMPLETED CHAPEL TOWERS Complex!Udz tax incentive & no transfer duty payable.Only 10% deposit ...        
WynbergUpper,1195000,1,1,1,64,,            This secure and spacious one bedroom apartment in Wynberg Upper is in close proximity to schools and transport and comes with the ...        
CapeTownCityCentre,3499000,2,2,1,119,,            Sole mandate. Enjoy the hustle and bustle of the city's restaurants and coffee shops and retreat to this beautiful light and bright ...        
Capricorn,12000000,,,,,,            OPEN TO ALL REASONABLE OFFERS Tenanted Warehouse for sale as a great investment opportunity in Capricorn business Park. The subject ...        
Constantia,6495000,4,4.5,2,,1665,            Personalise this 4 bedroom family home. Main bedroom boasts his and hers en-suite ...        
CapeTownCityCentre,3127200,,,,96,,            This brand new release is situated on the 11th floor of the new Rubik development.*r10 ...        
Constantia,7850000,7,6.5,10,,3380,            This original Cape Dutch style Manor House of Withycombe Farm in Constantia built in ...        
SeaPoint,1795000,1,1,1,47,,"            Located just a hundred metres from the Sea Point Promenade, this one bedroom apartment is a lovely chance to purchase an easy lock up ...        "
Observatory,4395000,7,4,5,,266,            This unique and well maintained property offers an abundance of opportunities as a ...        
GreenPoint,3150000,1,1,1,72,,"            This fully equipped, deluxe 1-bedroom apartment with a balcony is in the famous Cape ...        "
Observatory,7500000,,,,1100,,            Two double storey homes in Observatory that have been converted to offices. One office ...        
MouillePoint,9995000,2,2,2,190,,            Seriously luxurious and spacious 190sqm apartment with spectacular mountain and golf course views. Contemporary kitchen with scullery. ...        
Tokai,4400000,,,,,626,            This is the largest plot in Nieuwe Steenberg Estate at 626 sqm.  It's elevated position provides exceptional views of the ...        
Woodstock,1895000,3,2,,,161,"            Devon Street is one of Woodstock's most desirable roads, that has been beautifully ...        "
Vredehoek,7495000,7,5,5,,541,            Large erf with long standing house surrounded by the most panoramic views.Upstairs large entertainment area with long balcony and ...        
Plumstead,1625000,2,1,1,73,,"            2 Bedroom Unit Available in Plumstead!A neat 2 bedroom, with an open-plan kitchen ...        "
EppingIndustrial,24975000,,,,3330,,"            Industrial Units For Sale and To Let in Epping Industria, Cape Town.The property ...        "
Constantia,8990000,4,3,2,,3283,"            This exceptional property offers endless opportunities - renovate the existing home, build your dream home or sectionalise. Situated ...        "
Newlands,5600000,4,3,2,,738,            This beautiful home is situated in a desirable position in sought-after Hiddingh estate in Newlands. Close to Newlands Forrest and ...        
Constantia,31500000,6,7,4,,4006,"            The living is easy in this impressive, generously proportioned luxury residence  with mountain views.The floor plan encompasses 5 ...        "
Westlake,1175000,,,,49,,            Westlake Square is a business complex with brilliant security and strong management near ...        
Bakoven,15995000,2,2,1,,,"            This immaculate, Cape Cod style bungalow has been completely re-built with careful ...        "
Zonnebloem,1299000,3,1,,67,,"            For value buyers affordability comes packaged like this! An uncomplicated, high yielding ...        "
Heathfield,1495000,3,1,2,,,"            This semi-detached gem is perfectly positioned in Heathfield.Featuring sunny, open-plan living areas, this three-bedroomed house has ...        "
Muizenberg,5950000,6,8,4,,574,"            Situated high up on the Muizenberg mountain, this glamorous 500sqm residence with generous proportions and endless potential will not ...        "
KenilworthUpper,4990000,3,2.5,2,219,,            Take your living experience to new heights when you make your home at Robinson OaksPRICED FROM R4.990 - r5.990 Million (INCL. Vat - ...        
CapeTownCityCentre,6695000,3,3.5,2,196,,            This 3 bed Duplex Penthouse apartment is situated in the multi-award-winning Pepper Club Hotel & Residence.  The Apartment ...        
CapeTownCityCentre,1795000,1,1,1,50,,            Cape Town's Tallest Residential TowerPlease note we have numerous other 1 & 2 bed apartments availablePrice Includes VAT. ...        
Observatory,2150000,3,1,,,223,            Beautiful character filled three-bedroom family home located on the Hartleyvale side of ...        
Observatory,2099000,2,2,1,,,"            This first floor 2 bedroomed, 2 bathroom unit with open plan kitchen and living room offer 2 balconies and laminate flooring ...        "
WynbergUpper,1495000,2,1,2,87,,            Entering this amazing 5th Floor apartment in sought after well run complex Pentland Heights  in Wynberg Upper. You are greeted with ...        
EppingIndustrial,5400000,,,,720,,"            New Build Industrial Units For Sale or To Lease in Epping, Cape Town. This rare ...        "
WynbergUpper,2500000,2.5,2,1,169,,"            Graceful, spacious and elegant….Seller says Sell!  All reasonable offers will be ...        "
Kenilworth,1475000,2,1,1,86,,            Spacious North facing ground floor apartment situated in sought after Monte Vino! Offering 2 carpeted bedrooms with parquet floors ...        
CapeTownCityCentre,11250000,3,2.5,2,172,,"            Stunning sunny penthouse with magnificent mountain & city views boasting 3 bedrooms and 3 bathrooms, main and second bedroom ...        "
Fresnaye,8400000,2,3,2,108,,            We invite you to view this beautiful creation ...Priced from R8.4 Million (Incl. VAT - no transfer duty)Situated in the heart of ...        
EppingIndustrial,4800000,,,,640,,"            New Build Industrial Units For Sale or To Let in Epping Industria, the largest and most ...        "
Gardens,2395000,1,1,1,67,,            Beautifully renovated 1 bedroom spacious apartment in the heart of the City Bowl. This ...        
GreenPoint,1765000,0.5,1,,41,,            This 41sqm studio apartment is situated in a quiet block in the trendy Green Point area.The apartment has been fully renovated with ...        
CapeTownCityCentre,1775000,1,1,1,45,,            Come and view this upmarket open plan 1 bedroom apartment in the ever popular ...        
PhilippiEast,350000,3,1,,,162,"            Free standing house 3 bedroom home on a 162sqm plot.  Tiled lounge and kitchen area.  3 Bedrooms, 1 with laminated flooring. Bathroom. ...        "
Zonnebloem,999000,0.5,1,1,32,,"            This 32m2, studio apartment is situated just outside of Cape Town's CBD.The apartment offers an open plan living area, kitchen ...        "
SeaPoint,2350000,2,3,2,100,,            This property offers beautiful open plan living areas. The renovated kitchen offers ample cupboards space. The 2 bedrooms and 2.5 ...        
Vredehoek,995000,,1,,29,,"            Neat bachelor with everything you could want. It has direct Devils Peak views and a parking bay. The complex has a tennis court, squash ...        "
ClaremontUpper,2675000,2,2,2,86,,            A North Facing 2 bedroom apartment in The Quadrant.Positioned offering courtyard views ...        
Zonnebloem,2500000,2,1,1,55,,            This is your chance to become part of a rich historical tapestry in an exciting new development which is almost complete and ready for ...        
Clifton,14950000,4,4,,,406,"            New Exclusive Sole Mandate!This house boasts an open plan, kitchen, lounge and dining area which flow directly on to a large ...        "
Woodstock,2740000,4,2,,,127,            Price exclusive of VAT. No transfer duty payable.Newly renovated semi detached ...        
SeaPoint,2795000,2,2,,91,,            This spacious and beautifully renovated apartment is well configured and has a great flow. There are high -end finishes throughout and ...        
Oranjezicht,2350000,1,1,1,71,,            This unique one-bedroom in Oranjezicht is a rare find and offers a living space that is in the city but does not feel like you are in ...        
EppingIndustrial,9375000,,,,1250,,"            New Build Industrial Units To LEASE or For Sale in Epping, Cape Town. This rare ...        "
PelicanPark,430000,2,1,,,,"            This property is well suited for a first time buyer and only first time buyers need apply! Two bedrooms, open plan kitchen with family ...        "
Vredehoek,7400000,6,6,2,,543,            Villa Belladonna Guest House in Vredehoek is surrounded by Table Mountain with the City ...        
PelicanPark,2250000,4,2,3,,300,            OFFERS WELCOMEA rare offering of exquisite elegance.This warm elegant home with its fine attention to detail  delivers understated ...        
Fresnaye,3700000,1,1,1,59,,            We invite you to view this beautiful creation ...Priced at R3.7 Million (Incl. VAT - no transfer duty)Situated in the heart of ...        
Wynberg,2499000,,,,160,,"            Double storey property with GB1 zoning in Egham Road, right behind Maynard Mall. ...        "
Maitland,1100000,2,1,,86,,            Perfect starter home up for  grab in maitland!This property welcomes you to a Duplex ...        
SeaPoint,6700000,3,2,2,111,,"            Recently completed, The Glengariff stands proud above the avenue of trees in Three Anchor Bay with sea views towards Mouille Point. ...        "
CapeTownCityCentre,6800000,2,2,1,128,,"            This beautifully appointed 2 bedroomed apartment in popular The Pepper Club is ready to move in. The owner has refurbished, modernised ...        "
CapeTownCityCentre,1775000,1,1,1,45,,            Come and view this upmarket open plan 1 bedroom apartment in the ever popular ...        
Ottery,1900000,3,2,4,,389,            This neat property is ideally  located within close proximity to the mosque and Spar on ...        
SeaPoint,4950000,2,2,2,106,,"            Price includes VAT. Recently completed. 2 bedroomed, 2 bathroomed apartment with open balcony and 2 undercover security parkings. ...        "
Ottery,2390000,4,3,5,,400,"            This gorgeous, four-bedroomed, double-volume home is located in a quiet crescent in Ottery.Enter into the open-plan living space ...        "
Rondebosch,1720000,1,1,1,,,            This sunny one bed apartment is situated in a secure complex in Rondebosch.Ground floor apartment with sunning mountain ...        
CapeTownCityCentre,1350000,1,1,1,,,"            This neat, secure, 31square metre studio apartment is located in the heart of the city - Ideal for a single working professional or ...        "
SeaPoint,4900000,2,2,2,92,,"            Recently completed, The Glengariff stands proud above the avenue of trees in Three Anchor Bay with sea views towards Mouille Point. ...        "
SeaPoint,5300000,2,2,2,96,,"            Recently completed, The Glengariff stands proud above the avenue of trees in Three Anchor Bay with sea views towards Mouille Point. ...        "
CampsBay,4850000,2,1.5,,,84,            This gorgeous 84sm apartment on the beachfront is an investment opportunity not to be missed. Unobstructed beach views from delightful ...        
Observatory,3650000,3,2,1,,299,"            *Three comfortably sized bedrooms, all with wood floors, high ceilings, built-in ...        "
GrassyPark,1795000,3,2,2,,625,            This is an opportunity not to miss out on!This is a great investment and you can make excellent rental profits of more than R20 000 ...        
Constantia,6750000,5,4,4,,2019,            Immaculate five bedroom double storey  home with incoming producing flatlet/granny flatsituated on just over half an ...        
GreenPoint,2399000,1,1,1,61,,"            A gorgeous sunny, light and bright apartment on top floor , quiet location and offers  great size balcony, sea views and secure ...        "
RondeboschEast,3600000,4,3,3,,496,"            This beautiful spacious home offers you 4 bedrooms with built in cupboards, 2 x en-suites 1 family bathroomFully fitted ...        "
BantryBay,1150000,1,1,,42,,            Watch the video for a virtual viewing!Investment opportunity in top area of Cape Town ...        
Fresnaye,3700000,1,1,1,59,,            We invite you to view this beautiful creation ...Priced at R3.7 Million (Incl. VAT - no transfer duty)Situated in the heart of ...        
Fresnaye,10996000,2,3,2,328,,            Fresnaye Penthouse duplex apartment with fantastic panoramic ocean and Lion's Head Views.2 bedroom apartment with 202 m2 internal ...        
Plumstead,2250000,3,1,3,,472,"            Full of character and charm, this enchanting cottage-style home is perfectly suited for the smaller family or those wishing to scale ...        "
Constantia,6900000,3,2.5,2,,1560,            Scaling down or starting up in a sought-after location in the Avenues of Constantia Upper this well built and versatile three bedroomed ...        
Tamboerskloof,1595000,0.5,1,,44,,            Great opportunity for a first time buyer or rental investment right in the center of Tamboerskloof. A very peaceful and secure studio ...        
Gardens,4650000,3,1,,,140,            This beautifully appointed home compromising many of its original features is situated close to trendy Kloof Street and nearby ...        
CapeTownCityCentre,3995000,2,2,3,,,"            This stylish 2 bedroom 2 bathroom apartment in the Icon Building situated in the Heart of Cape Town CBD is absolutely sublime, upon ...        "
Zonnebloem,2289600,2,1,1,107,,            Perfect for first-time home buyers or investors looking to scoop up a great investment opportunity in the burgeoning Zonnebloem / ...        
Woodstock,1595000,3,1,,,168,"            The property is larger than the average home in Greatmore Street, the property also has ...        "
CapeTownCityCentre,2450000,1,1,1,71,,            This large one bedroom apartment is located in Cape Town's luxury apartment ...        
Zonnebloem,895000,,1,,33,,            Situated just outside of Cape Town's CBD and a stone’s throw away from several of Cape Town's universities and colleges. This ...        
Lansdowne,1250000,2,1,1,,,"            Transfer Fees Included!Another interest rate drop!!! With interest rates at an all time low in 47 years, now is a great time to buy ...        "
Woodstock,1295000,1,1,1,60,,            Offers from R1 295 000 incl. VATLocated in a secure complex in the popular ...        
HarfieldVillage,1995000,2,1.5,2,90,,"            This modern, sunny townhouse with mountain views has: - 2 spacious bedrooms, - 2 ...        "
SeaPoint,1750000,1,1,,62,,            Excellent Condition * SMALL Art Deco BuildingSpacious 62m2 modern one bedroom with enclosed balcony which can be used as a study/play ...        
Bergvliet,4350000,4,4,4,,744,"            Enter this home and be delighted! Stunning views and gorgeous entertainment areas, this ...        "
Tokai,3750000,4,3,5,,912,            Immaculate cul-de-sac home with stunning mountain views !!To view at the SUNDAY ...        
Claremont,2375000,3,2,,,241,"            STARTING UP OR SCALING DOWNA very rare find in Claremont which ticks all the boxes - 3 bedrooms, 2 baths (main en-suite), open plan ...        "
Observatory,1249000,1,1,,45,,"            Amazing One Bedroom ApartmentSeller Says Bring Offers!Situated on the first floor, this cleverly designed unit makes great use ...        "
WynbergUpper,1570000,2,1,2,,,            Don't waste time looking at other apartments we've found The One!!!!!Newly ...        
SaltRiver,1200000,1,1,1,42,,            Reduced by r100k: investor alert: now only r1 200 000.Located in one of Cape ...        
CapeTownCityCentre,1100000,,1,,28,,            *Price Reduced - Non Negotiable*This property offers open plan living. The kitchenette offers cupboards. 1 bathroom and the blocks ...        
SchaapKraal,4500000,,,,,1.984,            Huge development opportunity:price: r 4 500 000.00 neg.Land size: 1.9816 hectares        
SurreyEstate,2150000,4,3,,,595,            Sole & exclusive mandate!Main Dwelling:Big block parquet flooring in the lounge with a warm and cosy fireplace.  A white kitchen ...        
Retreat,1799000,5,2,1,,,"            This property is well located and consists of the following:Main House3 bedrooms with built in cupboards, spacious open plan lounge ...        "
Oranjezicht,3850000,2,2,2,114,,            Light and spacious city bowl apartment is located in a prime postion. Immaculately maintained. 2 beds 2 bathsBalcony and 2 ...        
Tokai,3900000,1,1,1,,383,            Perfect opportunity to own a home at an entry level pricing that you can transform to suit your own needs in a beautiful area. ...        
Fresnaye,10995000,3,2.5,2,195,,"            Situated in the heart of Fresnaye, this new block has 5 units of which this is the last apartment available.Private terrace, garden ...        "
Constantia,4995000,3,3,4,,422,            Sole MandateThe price includes VAT and so no transfer duty is payable.Semi-detached ...        
SeaPoint,14750000,4,4,3,321,,            Make an offer!!- Conveniently located within close proximity to the beachfront in the ...        
HarfieldVillage,2645000,3,,2,,366,            You would be surprised to see what is hidden behind its facade.The house offers 3 ...        
Waterfront,13450000,2,2,2,130,,            Exclusive mandate. This 2 bedroom apartment has views of both the Marina and the canal ...        
Oranjezicht,1999500,1,1,,60,,            This gorgeous 1 Bedroom 1 Bathroom with a fantastic courtyard is pet friendly and perfect for a young couple or first-time buyers ...        
Claremont,4500000,3,2,1,,496,            This beautiful North West facing Property comes with approved building plans. Perfectly situated on the erf with the most stunning ...        
SeaPoint,5300000,1,1,1,,96,            Sieze the opportunity to own a piece of prime real estate in this super secure and sought after estate in the midst of Cape Town's ...        
Rondebosch,1495000,1,1,1,62,,            Grosvenor square - move in today!Large beautifully renovated 1-bedroom apartment perched upon the 3rd floor of Grosvenor Square. A ...        
RondeboschEast,1250000,2,1,1,,,            First Floor  Apartment Gem for Sale in Southern Suburbs!This apartment is suitable ...        
CapeTownCityCentre,1495000,1,1,,43,,            [Video-tour available]Offers from R1 450 000Renovated short term rental machine ...        
PelicanPark,579000,2,1,1,,56,            OFFERS WELCOMEThis Cosy Home has the following:2 Bedrooms kitchenFamily BathroomLoungeBack yard with loads of potentialThis ...        
CampsBay,8500000,4,3.5,1,,,"            This comfortable family home offers a completely private child-friendly garden, swimming pool and beautiful surroundings. The open-plan ...        "
Oranjezicht,3650000,2,1,,104,,"            Top Floor Apartment + Patio A wonderful combination of heritage with wood floors, high ...        "
CapeTownCityCentre,1565000,1,1,2,49,,            This beautiful apartment is perfectly located and is not one to miss...This unit has a ...        
Fresnaye,6995000,3,2,1,200,,"            This 145m2, North-facing garden apartment features 3 bedrooms (main en suite) and 2 bathrooms. The open plan kitchen, with space for ...        "
SteenbergGolfEstate,14995000,3,4,,,1047,"            Is privacy and security important to your family? Then we have the perfect home for you...Tucked away, down a private road in a small ...        "
Muizenberg,1650000,1,1,1,68,,"            Great investment opportunity for Airbnb, a holiday getaway or to live the beachfront ...        "
GreenPoint,4650000,2,2,,78,,            [Video-tour available]A hidden gem located on the highly converted Ocean View Drive. ...        
CostaDaGama,950000,2,1,,,,            Lock up and Go Apartment For Sale!Lovely 2-bedroom ground floor apartment. Ideal for a small family or seniors.Excellent 24-hour ...        
SeaPoint,17500000,3,3.5,2,406,,"            R15,217,392 + vat. The advertised price includes VAT. No Transfer Duty applicable.Situated in a quiet cul-de-sac at the foot of ...        "
StonehurstMountainEstate,4500000,3,3,1,,198,"            This lovely modern townhouse has 3 bedrooms all with en-suite bathrooms, an open plan kitchen onto a lounge and dining area which in ...        "
CapeTownCityCentre,1795000,2,2,1,56,,"            Dream starter.. This affordable, renovated two bedroom two bathroom apartment with uninterrupted Table Mountain views is situated in ...        "
CapeTownCityCentre,1995000,0.5,1,1,40,,"            Located centrally to ICC Cape Town, and ideal investment prospect for both long and short term rentals.Building features:- spa ...        "
Newlands,3950000,3,3,4,,350,            OUTSTANDING VALUE IN SECURE POSITIONThis could be just what you are looking for. Double story comfortable family home in excellent ...        
Kirstenhof,1795000,3,2,1,95,,            Spacious 95sqm townhouse in sought after Kirstenhof Meadows. Ground floor compromises of ...        
Rondebosch,1150000,1,1,1,45,,            Unparalleled views make this top floor apartment one of the most sought after apartments in Grosvenor Square. The apartment consists of ...        
ClaremontUpper,2050000,2,1,1,60,,            This newly renovated apartment is elegant and stylish. The apartment is situated in the ...        
WynbergUpper,1495000,2,1,1,76,,"            Perfectly located on Alphen Hill, Wynberg Upper. Set in secure complex offering 2 beds, open plan lounge, dining kitchen area. Well ...        "
Rondebosch,1275000,1,1,1,41,,            Sole MandateDon't miss the opportunity to own this incredible apartment with ...        
DiepRiver,1350000,2,1,1,64,,"            This quaint Duplex is situated in the heart of Diep River above the main road, close to ...        "
Observatory,3295000,3,2.5,2,,160,"            Modern, clean lined and newly built townhouse located in the quietest and most modern part of Observatory! The perfect layout offering ...        "
SeaPoint,4900000,3,2,2,104,,"            Recently completed, The Glengariff stands proud above the avenue of trees in Three Anchor Bay with sea views towards Mouille Point. ...        "
WalmerEstate,4950000,3,2,6,,740,            Property with excellent flow. Enter from 6 car parking. Stairs lead onto welcoming stoop.Turn around and enjoy the views across the ...        
SeaPoint,5500000,4,,,,250,            Joint mandate.Turn this around... GR4 Zoning - 250sqMDouble storey Home with all the ...        
CapeTownCityCentre,1695000,,1,1,51,,            Well located inside the city center opposite Company Gardens lies this immaculate studio apartment. The property is situated inside a 5 ...        
KalkBay,4850000,2,2,,83,,"            This superb apartment, in the heart of Kalk bay, is situated on the main road giving one a birds eye view of all the action, vibey ...        "
Observatory,1395000,2,1,,,79,"            Situated in the ever so sought after Observatory, positioned just off Lower Main Road ...        "
Pinelands,4695000,3,2,9,,948,"            New Release. Sole Mandate.3D Virtual Tour Available Now!Grand and gracious offering your family the lifestyle they deserve, a ...        "
Muizenberg,2200000,3,2,1,,285,            This Victorian home is looking for that unique buyer to make it their own! Look No Further....For the Muizenberg Village this ...        
DeWaterkant,3490000,2,2,2,105,,"            De Waterkant LivingNorth and east-facing corner unit, with north front-facing magnificent panoramic Table Bay Harbour & sea ...        "
Observatory,2495000,3,3,2,,,            Ideal communal living! Each bedroom self contained!Excellent rental returns!* Each bedroom with own built-in bed & bathroom* ...        
Oranjezicht,2775000,2,1,2,72,,            MODERN & STYLISHA beautifully renovated north facing 2 bedroom with leafy outlook and lovely Signal Hill views.Immaculate parquet ...        
Tamboerskloof,2750000,3,2,,122,,"            Original, Origen pine floors, high ceilings, loads of living space, and three spacious bedrooms for the win!Spacious, sunny lounge ...        "
Muizenberg,6900000,3,3,2,185,,            Contemporary elegance with a taste of urban living. Full service offering of what is ...        
CostaDaGama,1900000,3,2,4,,265,            Nestled at the foot of the Muizenberg Mountains – this spacious 3 bedroom home in Costa Da Gama has been tastefully renovated allowing ...        
Kirstenhof,1795000,3,2,1,95,,            Spacious 95sqm townhouse in sought after Kirstenhof Meadows. Ground floor compromises of ...        
Claremont,1590000,1,1,1,,,"            This beautiful, well proportioned one bedroom apartment is on the 3rd floor on the A ...        "
Muizenberg,2995000,4,2,3,,255,"            Beautifully renovated and well-maintained, this large freestanding corner house is in ...        "
StonehurstMountainEstate,11500000,4,3.5,5,,1000,            *See video walkthrough!The original owners who constructed the home did so with one ...        
Rosebank,3295000,3,2.5,2,,133,"            This centrally located lock-up-and-go home in a secure cluster environment in Rosebank consists of an open living area, modern kitchen ...        "
SeaPoint,2490000,1,1,,51,,"            Located on the Sea Point promenade across the road from Queen’s Beach, next to the ...        "
CapeTownCityCentre,4500000,2,2,2,87,,            This 87m2 apartment is situated in the Radisson Blu Hotel and Residence is situated in Cape Town's Waterside precinct.The large ...        
KenilworthUpper,2250000,2,1.5,,92,,"            Ideally located in the heart of Kenilworth Upper, this beautiful West facing apartment boasts sun-soaked spacious rooms and careful ...        "
Kirstenhof,2990000,3,2,1,,725,"            This Sunday from 14h00 to 17h00, we will be hosting a VIRTUAL SHOW DAY for this ...        "
Constantia,9950000,4,4.5,2,,1359,"            Designed to complement today’s lifestyle, this secure north-facing double storey is set ...        "
BantryBay,15750000,3,2.5,2,231,,"            This 231 sqm, sea-facing apartment is situated in popular Bantry Place and overlooks the Atlantic Ocean and Saunders Beach, with ...        "
SeaPoint,4995000,2,2,1,111,,            Fabulous location in Sea Point. This duplex apartment offers 2 bedrooms and 2 bathrooms upstairs and a warm and inviting living area ...        
HarfieldVillage,2350000,1,1,2,,296,"            Visit our 360deg interactive virtual tour and video!!Set in a lovely treed avenue, lies this adorable shuttered Harfield ...        "
BoKaap,5300000,4,2,1,,424,            These 2 houses are built back to back as semi detached homes located on the beautiful rocky area facing table mountain with 2 kitchens ...        
BantryBay,15795000,3,2.5,2,231,,            This expansive 3 bed apartment perfectly located in prestigious Bantry Place offers over ...        
Heathfield,1650000,3,2,,,151,"            3 Bedroom Secured Home - Sole and Exclusive MandateSituated at Rochester Village in the iconic suburb of Heathfield, this complex has ...        "
Westlake,1540000,,,,77,,            This 77m2 office in sought after Westlake Square comprises of an open plan office with a ...        
Observatory,2700000,2,2,1,,262,"            Observatory  2 Bedroom modern Cottage For Sale in Observatory.Fully modernized, this property offers 2 bedrooms(main bedroom en ...        "
SeaPoint,4990000,3,3,,,148,"            Walking distance to the Promenade.Freehold property, yet ideal as lock up and go.Open plan living downstairs.With a large open ...        "
Vredehoek,2895000,1,1,1,94,,"            Luxurious and stylishly finished,  this penthouse apartment is a light and bright.78 sqm living area and 16 sqm terrace (railing needs ...        "
Observatory,1500000,2,1,,,84,            Rental Investors Dream Home/ Family First Home / Rental investor /   This character heritage home is situated in the sought after ...        
EppingIndustrial,25000000,,,,1833,,"            Industrial Property for Sale in Epping Industrial25 & 27 Thor Circle, Epping Industrial, Cape TownThe combined property offers ...        "
SeaPoint,5850000,2,2,1,,210,            Walk in and fall in love with this delightful and well-finished 2 bedroomed home inn a great location in Upper Sea Point.An amazing ...        
DeWaterkant,3775000,2,2,2,100,,            EXCLUSIVE MANDATE AND PRICED TO GO NOWWith furniture for immediate income: Two ...        
GreenPoint,3395000,2,1,1,63,,            VAT INCLUSIVE - NO TRANSFER DUTYTrendy apartment in Highstrand.A well thought out and perfectly renovated lock up and go.Great ...        
Bridgetown,1250000,4,2,1,,,"            This Property comprises of the Main house , consisting of 2 Bedrooms , and also has a Seperate Entrance , for a Extra income of a ...        "
SeaPoint,1595000,1,1,1,51,,            A bright and spacious one bedroom apartment located on the corner of Hall and Main Roads in the heart of Sea Point. The apartment is in ...        
Woodstock,1299000,,1,1,36,,"            Live or invest in this modern, courtyard-facing bachelor apartment, meticulously designed with a private balcony off the living area. ...        "
Kenilworth,1895000,2,2,1,,,"            Large, ultra modern, 2 bed, 2 bathroom apartment in leafy KenilworthStylish and ...        "
Muizenberg,925000,2,1,1,,,            This relatively newly built apartment in a well designed security complex which is close ...        
Observatory,2200000,2,1,3,,123,            Recently reduced by a massive R 200 000! Observatory is one of Cape Towns trendiest ...        
Constantia,9000000,6,5,6,,3325,"            Are you looking to restore a beautiful heritage manor house, ideal for family living? Set on a glorious 3325sqm plot with beautiful ...        "
Kenilworth,1150000,1,1,,64,,"            A lovely, neat, welcoming and spacious 1 bedroom apartment in Mortimer Gardens, Lancaster Road, Kenilworth.Situated in a in a ...        "
Kenilworth,1599000,2,2,2,61,,"            This 2nd floor apartment in a newly built, well-managed and secure block, offers all the conveniences for a modern lifestyle. The ...        "
Rosebank,920000,1,1,1,39,,"            Quiet cul – du-sac excellent securityThis ground floor apartment offers open plan kitchen/ lounge, that leads to a small communal ...        "
Tokai,2995000,4,3,2,148,,"            This beautifully presented 4 bedroom property in sought after Hillside, Tokai Hamlet, is ...        "
CampsBay,59950000,4.5,4,4,,414,            This gorgeous beach 'bungalow' with magnificent views across the bay is securely ...        
Rosebank,1095000,1,1,1,48,,            Astra and Bridgebank Court is located off Liesbeek parkway making it perfect for the ...        
Foreshore,4995000,2,2,2,141,,"            This lovely apartment offers 2 bedrooms, 2 bathrooms, open plan kitchen, lounge and dining area. Views of the City and the Harbour. ...        "
Fresnaye,14495000,4,4.5,4,,499,            FRESNAYE CYCAD HAVENThis generous double-story home with views and clean lines offers ...        
Foreshore,2595000,1,1,1,47,,            Luxury One Bedroom Available This exquisite one bedroom in the Onyx is selling below market value on the 7th floor. The upmarket ...        
KenilworthUpper,3995000,3,2,5,,545,"            This spacious family home is priced to go! Great proportions, high ceilings, beautiful ...        "
Muizenberg,1850000,3,2,4,,296,            This renovated property is neat and is situated within walking distance to the beach ...        
Langa,850000,4,2,1,,,            Large corner house for sale in (Backstage) LangaExtras include built in cupboards and outside rooms        
CapeTownCityCentre,4200000,2,2,1,121,,"            This is like steeping back in time, yet with all the mod cons and really tasteful ...        "
Zonnebloem,2180000,2,1.5,1,61,,"            2 bedrooms with built in cupboards and laminated flooring1 bathroom tiled with toilet, basin and showerGuest looTiled open plan ...        "
CapeTownCityCentre,4499995,2,2,1,,,            PENTHOUSE FOR SALE2 bedroom penthouse set across 2 levels in one of the trendiest ...        
Rosebank,1095000,1,1,1,48,,            Astra and Bridgebank Court is located off Liesbeek parkway making it perfect for the ...        
SeaPoint,9950000,3,2,3,206,,"            Rare opportunity to own in this sought after, secure beach front block. Generous in size ...        "
Constantia,5750000,,,,,4159,            Virtually On Show via FacebookContact the agents for the link.Allow your creativity to unfold and purchase this 4159 sqm of prime ...        
Claremont,2995000,3,2,3,,334,"            This Sunday from 14h00 to 17h00, we will be hosting a VIRTUAL SHOW DAY for this ...        "
Newlands,8300000,3,3,2,,265,            Enjoy space and elegance on one of the village’s most popular roads. This three-bedroom ...        
Gardens,1890000,1,1,,,,"            Bright one-bedroom apartment with parking in sought after blockDelightful, secure 1 bedroom, 1 bathroom apartment in a neat and ...        "
SeaPoint,4495000,3,2,1,117,,"            This is special recently renovated and beautifully decorated apartment, with ocean and ...        "
