Location,Price,Bedrooms,Bathrooms,Parking,Floor Size,Erf Size,Description
MouillePoint,4150000,2,2.5,,81,,"            Another Exclusive mandate in Mouille Point. Renovated two bedroom, main en suite ...        "
ThreeAnchorBay,2800000,3,1,1,85,,            A fantastic investment opportunity awaits for those looking to grow their portfolio with ...        
Rondebosch,5175000,4,3,7,,729,            This 4 bedroom home with study has good flow from the modernised wood and granite ...        
SeaPoint,6995000,3,2.5,2,270,,"            | Stylish, Modern Family Home | This triplex townhouse offers the full package.  With ...        "
Newlands,5200000,3,2,2,,495,"            EXCLUSIVE MANDATEThis picturesque 3 bedroom, 2 bathroom cottage-style home above ...        "
Wynberg,2100000,,,,200,,            3 adjacent units available for sale in a secure complex in Wynberg. Available separately ...        
Woodstock,2950000,,,,192,,"            Calling all Developers and Renovators, this gem of a property is desperately in need of ...        "
Claremont,2500000,3,2,3,,312,"            Much loved family home, carefully upgraded, with modern finishings and good ...        "
CapeTownCityCentre,1795000,1,1,1,63,,"            Situated in an AirBNB friendly block, this spacious apartment, is fully furnished and ...        "
KenilworthUpper,2925000,3,2,2,112,,"            Perfectly positioned in the Heart of Kenilworth Upper, walking distance to popular ...        "
Fresnaye,3799000,2,1,1,120,,            Immaculately presented and beautifully renovated apartment with stylish interiors in a ...        
ClaremontUpper,2450000,2,2,3,122,,            This beautifully vintage-styled apartment is located in the heart of Claremont. Sunlight ...        
ClaremontUpper,2350000,2,2,1,75,,            This modern high end finished apartment is situated in the well sought apartment block ...        
Kenilworth,2750000,2,1,1,,242,"            Located on a quiet street of Kenilworth, this lovely home is light and bright and has ...        "
SeaPoint,7950000,3,2.5,1,174,,            Elegant and spacious family sized apartment with open plan lounge and dining room ...        
Rondebosch,3995000,3,2.5,5,,319,"            18 Albion Road, Rondebosch VillageThis is a gorgeous three bedroomed townhouse with ...        "
Kenilworth,1875000,2,1.5,2,82,,            CHARNWOODSunny North facing apartment in sought after well maintained and managed ...        
Vredehoek,1595000,0.5,1,1,45,,            COTTAGE FEEL WITH AMAZING CITY VIEWSThis unit has a different configuration to the ...        
Llandudno,17995000,5,5,5,,991,"            First impressions as you enter this amazing home, set high up in the prestigious suburb ...        "
SeaPoint,1850000,0.5,1,,52,,            This modern 52m2 studio features an open plan living area and bed sitter all in one. The ...        
Zonnebloem,1600000,2,1,1,63,,            Calling all investors and first time buyersFully renovated 3rd floor two bedroom ...        
CapeTownCityCentre,2800000,1,1,1,67,,"            Located in the financial district of Cape Town's foreshore, this spacious apartment ...        "
ClaremontUpper,3175000,2,3,1,81,,"            35 on Grove! This modern, secure apartment has it all!Sunny North facing gem, with ...        "
Gardens,4500000,3,2,2,141,,            This unique industrial New York loft style apartment is close to all shops and amenities ...        
Oranjezicht,2100000,1,1,1,66,,            WHAT AN OPPORTUNITY to buy this LARGE one-bedroom apartment which is the size of modern ...        
Zonnebloem,1600000,3,2,1,75,,            Calling all investors and first time buyersFully renovated 3 bedroom corner apartment ...        
Lakeside,9980000,10,6,8,,1228,"            No Transfer Duty, VAT Inclusive:One of the oldest homes in the area, this magnificent ...        "
SeaPoint,1950000,0.5,1,1,52,,            This light and bright fully renovated 52m2 studio on the top floor with a balcony and ...        
SeaPoint,1690000,1,1,,60,,            Well located north facing 1 bedroom apartment in well maintained block. 1 large ...        
CapeTownCityCentre,2950000,,,,150,,            This dual level retail space is primely situated on the corner of Bloem and bustling ...        
