location,price,floor_size,bathrooms,bedrooms,parking
De Waterkant,3250000,105,2,2,2
Pelican Park,599000,None,1,3,None
Kenilworth Upper,1995000,107,2,2,1
Camps Bay,8995000,645,3,3,4
Three Anchor Bay,8999000,270,2,3,1
Sea Point,6995000,144,2,2,2
Foreshore,7250000,155,2,2,2
Cape Town City Centre,2300000,40,1,1,1
Kenilworth Upper,2499999,74,1,2,2
Sea Point,3590000,None,1,2,1
Meadowridge,3799000,998,3.5,4,6
Camps Bay,29999000,442,3.5,3,4
Diep River,1999000,179,2,3,1
Plumstead,975000,46,1,1,1
Observatory,1640000,61,2,2,1
Claremont,2274000,71,2,2,2
Cape Town City Centre,2650000,32,1,0.5,1
Stonehurst Mountain Estate,6150000,512,2.5,4,4
Oranjezicht,4950000,158,2,2,2
Constantia,29000000,4 035,6,6,5
St James,10800000,550,3,4,4
Sea Point,5414050,93,2,2,1
Cape Town City Centre,2150000,65,1,2,1
Cape Town City Centre,5175000,164,2,2,2
Newlands,12750000,496,4,5,4
Sea Point,6495000,372,5,5,None
Sea Point,17000000,202,3,3,2
Cape Town City Centre,4795000,142,1,2,1
Camps Bay,14750000,866,2.5,4,2
Sea Point,3950000,60,1,1,1
Sea Point,4950000,110,2,3,1
Rosebank,1850000,82,1.5,3,1
Cape Town City Centre,2900000,136,1,2,1
Camps Bay,16900000,326,3.5,3,None
Thornton,715000,42,1,1,None
Rondebosch Village,3200000,120,2,2,2
Green Point,10750000,1 023,2,4,1
De Waterkant,4495000,None,2,2,1
Claremont Upper,17500000,1 501,4,4,9
Claremont Upper,3650000,90,2,2,1
Higgovale,11250000,534,3.5,4,2
Mowbray,1350000,60,1,2,1
Sea Point,3600000,65,2,2,None
Higgovale,16950000,1 535,5,7,10
Plumstead,1499999,77,1,2,None
Maitland,530000,34,1,1,1
Pinelands,3050000,744,1,3,1
Southfield,825000,52,1,2,None
Meadowridge,4895000,694,5,4,2
Plumstead,3450000,552,2.5,3,3
Marina Da Gama,3000000,582,2,3,4
De Waterkant,10599000,208,3.5,2,None
Muizenberg,2000000,556,2,3,2
Tamboerskloof,2550000,76,1,2,None
Zonnebloem,1990000,58,1,2,1
Constantia,15500000,2 275,4,5,2
Kalk Bay,9500000,191,2,2,2
Muizenberg,819000,None,1,1,None
Kalk Bay,5900000,311,3,4,1
Zonnebloem,1995000,78,2,2,1
Salt River,7500000,408,4,7,None
Muizenberg,1485000,208,2,3,1
Newlands,12750000,916,2,3,4
Newlands,17750000,776,4,4,4
Rondebosch,3350000,115,2,3,1
Sea Point,2150000,78,1,2,None
Waterfront,10995000,111,2.5,2,2
Woodstock,890000,120,1,2,1
Sea Point,3295000,85,1,2,1
Sea Point,2950000,91,2,2,1
Vredehoek,2095000,63,2,2,None
De Waterkant,5500000,105,2,2,1
Sea Point,2300000,67,1,1,None
Woodstock,2400000,69,2,2,1
Kenilworth Upper,2195000,66,2,2,2
Kalk Bay,3350000,113,1.5,2,1
Cape Town City Centre,2995000,109,2,2,2
Kenilworth,4800000,454,None,None,None
De Waterkant,3785000,65,1,1,1
Fresnaye,6350000,424,2,3,2
Nyanga,695000,520,None,None,None
Fresnaye,3500000,109,1,2,1
Cape Town City Centre,2950000,48,1,1,1
Kalk Bay,2950000,65,1,2,None
Salt River,2600000,192,1,3,2
Green Point,1799000,51,1,1,None
Gardens,4350000,85,2,2,None
Woodstock,1899950,42,1,0.5,1
Oranjezicht,2200000,65,1,2,None
Sea Point,1795000,37,1,0.5,1
Kenilworth,13995000,940,4,4,3
Nooitgedacht,780000,90,1,3,3
Lansdowne,3395000,627,2,4,4
Camps Bay,6995000,149,2,3,1
Cape Town City Centre,3950000,108,2,2,2
Camps Bay,10800000,459,3.5,4,2
Windermere,849000,None,1,3,None
Pinelands,1295000,36,1,1,1
Mouille Point,2295000,60,1,1,1
Green Point,2990000,82,1,2,None
Sea Point,2250000,60,1,1,1
Wynberg Upper,3950000,321,3,3,2
Constantia,10200000,1 596,4,4,2
Constantia,19900000,3 827,4.5,7,8
Sea Point,19995000,479,4,4,2
Constantia,10500000,2 843,4,4,3
Woodstock,2195000,131,1,2,1
Camps Bay,6500000,321,1,2,1
Gardens,1700000,86,1,None,None
Woodstock,2800000,211,2,4,2
Cape Town City Centre,1795000,62,1,1,1
Gardens,4500000,141,2,3,2
Zonnebloem,1490000,66,1,1,1
Plumstead,2295000,497,2.5,4,6
Observatory,2395000,172,2,2,None
Diep River,895000,None,1,1,2
Bantry Bay,7395000,108,1.5,2,None
Mouille Point,2750000,None,1,1,1
Vredehoek,4500000,418,2,3,4
Mowbray,1100000,71,1,2,None
Walmer Estate,2950000,194,2,3,2
Zonnebloem,1350000,40,1,1,1
Bishopscourt,29995000,3 985,4,5,3
Sea Point,1550000,33,1,0.5,1
Gardens,1950000,None,None,None,None
Cape Town City Centre,1650000,41,1,1,1
Diep River,2342107,None,1,2,1
Claremont Upper,9750000,386,4,4,2
Sea Point,9251000,189,3,3,3
Green Point,2850000,59,1,1,1
De Waterkant,4823926,135,1,2,2
Kenilworth Upper,2100000,44,1,1,1
Vredehoek,11000000,500,None,None,None
Zonnebloem,1799000,None,1,2,1
Tokai,4450000,1 085,3,4,5
Green Point,9250000,None,7,6,3
Bantry Bay,7950000,144,3,3,2
Cape Town City Centre,32000000,191,2,2,2
Cape Town City Centre,2995000,90,2,2,2
Meadowridge,3250000,716,2,3,2
Claremont,5450000,145,2,3,2
Vredehoek,1595000,45,1,0.5,1
Fresnaye,12950000,688,3.5,4,6
Gardens,2350000,67,1,1,1
Wynberg Upper,2900000,176,4.5,4,2
Constantia,8449000,2 718,4.5,6,4
Constantia,16000000,2 207,4,4,4
Tamboerskloof,4500000,194,1,2,None
Harfield Village,1995000,111,2,2,2
Newfields,1350000,352,1,3,5
Constantia,19900000,1 437,5.5,5,6
Vredehoek,3200000,90,2,2,None
Rondebosch,3200000,125,1,2,2
Claremont,2295000,68,1,1,1
Claremont Upper,5400000,499,4,4,3
Cape Town City Centre,999995,29,1,0.5,None
Diep River,1549999,93,1,3,None
Wynberg,1395000,84,1,2,1
Plumstead,2495000,595,3,4,3
Wynberg,950000,62,1,2,2
Kenilworth,1590000,56,2,2,None
Claremont Upper,1595000,59,1,2,1
Sea Point,1595000,56,1,1,None
Meadowridge,3750000,None,1.5,3,6
Vredehoek,3400000,115,2,2,5
Vredehoek,3450000,104,1.5,2,2
Maitland,650000,36,1,1,1
Kenilworth,1830000,61,2,2,2
Pinelands,7400000,1 034,3,5,2
Oranjezicht,10300000,495,3,4,None
Pinelands,4795000,920,2.5,4,2
Tamboerskloof,2050000,55,1,1,None
Claremont Upper,3795000,100,1.5,2,2
Cape Town City Centre,2795000,69,1,1,1
Kenilworth,2780000,119,3,3,2
Camps Bay,2995000,68,1,1,2
Cape Town City Centre,2175000,39,1,0.5,2
Woodstock,950000,37,1,None,1
Rosebank,1195000,42,1,2,None
Thornton,2650000,595,3,4,4
Cape Town City Centre,2250000,79,1,2,1
Observatory,3395000,268,2,3,2
Claremont,3950000,495,4,5,3
Sea Point,4038000,65,1,1,1
Observatory,1850000,66,2,2,1
Waterfront,10995000,155,2,2,2
Kenwyn,2195000,633,1,3,4
Plumstead,2950000,280,2,3,1
Tamboerskloof,6495000,258,4,3,1
Salt River,1650000,65,1,1,None
Bonteheuwel,799999,309,1,4,None
Oranjezicht,4350000,110,2,3,2
Rondebosch,4250000,695,3,4,4
Bantry Bay,6200000,156,2.5,3,2
Cape Town City Centre,1395000,49,1,1,None
Vredehoek,2250000,69,1,2,None
Claremont Upper,2400000,61,1,1,1
Muizenberg,1750000,90,1,3,2
Observatory,2350000,175,1,2,1
Muizenberg,1395000,79,2,3,3
Oranjezicht,2590000,76,1,2,1
Lakeside,2950000,301,2,3,1
Gardens,3500000,80,2,2,2
Cape Town City Centre,8400000,280,4,4,2
Heathfield,1250000,85,1,2,1
Woodstock,3450000,450,1,2,1
Bergvliet,3495000,347,2,2,2
Constantia,6999000,2 183,2,4,4
Ottery,1750000,262,1,3,4
Observatory,3595000,372,2,2,2
Kenilworth Upper,3250000,163,2,3,1
Constantia,7250000,339,3,4,2
Cape Town City Centre,2995000,106,2,2,1
Lotus River,1530000,500,2.5,3,5
Rondebosch,5250000,450,4,10,None
Claremont,1367600,38,1,1,None
Sea Point,4995000,250,2,4,None
Wynberg Upper,6500000,1 569,4,6,10
Claremont,1695000,55,1,2,1
Rosebank,1495000,97,1,3,None
Green Point,2995000,53,1,1,1
Constantia,19900000,1 437,5.5,5,6
Wynberg,2450000,496,4,5,5
Pinelands,691120,28,1,1,1
Harfield Village,2050000,112,2,2,1
Foreshore,4750000,91,2,2,2
Higgovale,14900000,335,3.5,3,1
Hanover Park,389000,159,1,2,None
Claremont,4950000,459,1.5,3,1
Sea Point,2500000,68,1,1,None
Cape Town City Centre,1520000,47,1,1,None
Observatory,2350000,150,1,3,None
Thornton,1250000,117,1,2,None
De Waterkant,2290000,45,1,1,1
Oranjezicht,18995000,595,4.5,5,2
Mowbray,1700000,230,1,3,None
Bishopscourt Village,6300000,457,3,3,1
Sea Point,1595000,51,1,1,1
Oranjezicht,1750000,47,1,0.5,1
Kalk Bay,9400000,1 222,4,5,4
Bantry Bay,4750000,91,2,2,1
Kenilworth,1495000,41,1,1,1
Claremont,1999999,93,1,2,1
Woodstock,3995000,545,3,4,4
Gardens,2400000,59,1,1,None
Rosebank,995000,53,1,2,None
Plumstead,1450000,65,2,2,2
Foreshore,4950000,95,2,2,1
Rondebosch,1495000,55,1,1,1
Claremont Upper,1300000,None,1,2,None
Cape Town City Centre,1950000,58,1,1,1
Muizenberg,1750000,None,1,3,None
Kalk Bay,3700000,72,2,2,1
Kenilworth Upper,5400000,468,3,4,None
Observatory,2749000,273,1,3,1
Newlands,3395000,114,1,2,2
Ottery,5800000,None,None,None,None
Vredehoek,2495000,40,1,1,1
Vredehoek,11395000,140,2,3,3
Cape Town City Centre,2890000,84,2,2,None
Lotus River,1850000,285,2,3,None
Cape Town City Centre,2695000,95,2,2,None
Rondebosch,2100000,75,1,2,1
Bo Kaap,6000000,201,2,5,1
Stonehurst Mountain Estate,6750000,347,4.5,4,4
Zonnebloem,1200000,34,1,1,2
Observatory,3200000,69,2,2,2
Green Point,2530000,91,1,1,2
Sea Point,3250000,104,1,3,1
Fresnaye,11750000,269,4.5,4,4
Fresnaye,11750000,269,4.5,4,2
Green Point,1495000,45,1,1,None
Sea Point,2300000,64,1,1,1
Rondebosch Village,3450000,123,2,3,5
Camps Bay,38000000,903,7.5,6,6
Constantia,30000000,6 151,5.5,5,8
Pinelands,4150000,1 586,2,5,7
Thornton,720000,42,1,1,None
Foreshore,4995000,141,2,2,2
Ottery,895000,None,1,2,1
Sea Point,2950000,58,1,1,1
Wynberg Upper,1049000,50,1,1,1
Sea Point,2595000,63,1,1,1
Salt River,1399000,50,1,0.5,1
Pinelands,3250000,208,2,2,2
Woodstock,2250000,121,2,5,None
Sea Point,2950000,51,1,1,None
Cape Town City Centre,2995000,80,2,2,1
Cape Town City Centre,3495000,77,2,2,2
Rondebosch,8000000,934,3,4,4
Tokai,4500000,None,2.5,4,3
Oranjezicht,6900000,414,3,4,2
Plumstead,2190000,86,1,2,2
Maitland,1850000,495 ha,1,3,3
Claremont,4990000,565,2.5,3,3
Camps Bay,39995000,514,4,4,2
Observatory,2295000,65,2,2,2
Fresnaye,23950000,1 041,4,4,3
Sea Point,3850000,96,2,2,1
Rondebosch,10500000,1 143,4,5,8
Sea Point,5395000,129,2.5,3,1
Gardens,1780000,45,1,1,None
Cape Town City Centre,1450000,43,1,1,1
Observatory,850000,31,1,0.5,1
Cape Town City Centre,2500000,42,1,1,1
Pinelands,1525000,80,1,2,None
Waterfront,6382500,70,1,1,2
Cape Town City Centre,1095000,35,1,0.5,1
Mowbray,1290000,60,1,2,1
Fresnaye,19950000,594,3,5,2
Pinelands,1150000,55,1,2,1
Belhar,980000,None,2,3,1
Green Point,2615000,48,1,1,1
Observatory,2350000,128,1,1,None
Woodstock,1590000,41,1,0.5,1
Cape Town City Centre,2500000,50,1,1,1
Cape Town City Centre,1195000,47,1,None,None
Philippi,1200000,None,8,8,None
Wynberg,4200000,605,3.5,5,4
Kalk Bay,3500000,60,1,1,1
Woodstock,1195000,None,1,None,1
Clifton,,180,4,4,None
Bergvliet,3895000,561,2,4,4
Gardens,3900000,109,1,1,None
Stonehurst Mountain Estate,9700000,1 029,5,4,1
Sea Point,1690000,37,1,0.5,None
Marina Da Gama,3950000,640,4.5,5,4
Constantia,11500000,1 355,2,5,2
Grassy Park,1695000,488,3,9,2
Cape Town City Centre,1150000,43,1,None,None
Camps Bay,16850000,206,3,3,2
Diep River,2495000,96,2,2,1
Cape Town City Centre,2200000,77,1,1,1
Green Point,3150000,72,1,1,1
Muizenberg,5950000,574,8,6,4
Woodstock,2740000,127,2,4,None
Ottery,1750000,389,2,3,4
Constantia,6900000,1 560,2.5,3,2
Surrey Estate,2150000,595,3,4,None
Cape Town City Centre,1565000,49,1,1,2
Walmer Estate,4950000,740,2,3,6
Sea Point,4990000,148,3,3,None
Sea Point,9500000,109,2,2,1
Claremont,2995000,334,2,3,3
Mouille Point,13995000,190,3,3,2
Zonnebloem,2200000,None,1,2,1
Vredehoek,3395000,95,2,2,None
Bantry Bay,19990000,230,3.5,3,1
Constantia,,9 490 ha,6,6,8
Constantia,8495000,1 989,4,4,2
St James,9950000,665,3,4,1
Sea Point,8795000,363,2,3,2
Observatory,2325000,75,2,2,1
Cape Town City Centre,1795000,48,1,1,None
Vredehoek,2495000,60,1,2,2
Green Point,11950000,194,3.5,3,2
Camps Bay,12750000,595,3,4,2
Pinelands,845000,None,1,1,1
Camps Bay,3900000,78,1,2,1
Sea Point,2700000,84,1.5,1,1
Sea Point,2150000,64,1,1,1
Waterfront,9300000,121,2.5,2,2
Fresnaye,20000000,277,3,2,3
Rondebosch,1750000,82,1,2,1
Maitland,760000,68,1,2,1
Kenilworth Upper,4160000,173,2.5,3,2
Zonnebloem,1450000,62,1,2,1
Muizenberg,860000,None,1,2,1
Maitland,1950000,412,1,3,1
Woodstock,1985000,200,2,3,None
Zonnebloem,1250000,57,1,1,1
Wynberg,1200000,None,2,2,1
Plumstead,2295000,496,3,3,3
Constantia,32000000,8 062,3.5,4,4
Wynberg,970000,62,1,2,None
